ID,Bios,Movie,TV,Music,Book,Sport,Vacation,People,Branch
19BCE0370,Fun. Talkative.,9,5,4,3,6,7,2,5
19BCE0148,Procrastinator. Sporty. Intuitive.,0,8,2,9,6,2,0,5
20BCE2014,Bored. Procrastinator. Ambitious. HardWorking. Emotinal. Sensitive.,5,2,2,8,9,1,8,5
20BEC0414,Nothing.,5,2,0,1,3,9,2,6
20BCE0684,Bold. Hardworking. Funny.,0,0,0,5,7,1,2,5
20BCE0471,Fun. Caring. Kind.,3,2,0,8,7,1,8,3
19MIC0101,Dead.,2,4,0,7,1,4,1,5
19BIT0169,Best.,6,6,7,4,1,1,6,5
19BCE2233,outgoing. detail oriented. adventurous.,4,4,0,7,9,3,6,5
19BCE0470,Helpful. Outgoing. Friendly.,5,2,2,8,1,1,2,5
20BCE2162,Impulsive. creative. outgoing.,8,0,5,3,2,3,7,5
19BCE2138,Funny. Thoughtful. Empathetic. Sarcastic.,9,0,2,8,6,3,2,5
19BCE2216,vivacious. personable. stubborn.,9,4,0,3,0,1,8,5
21BCE10997,easy.,1,0,0,7,1,8,2,5
19BCE0176,laidback.,8,2,2,8,0,4,6,5
21vca01999,good.,8,4,0,8,2,9,6,1
18BIT0366,Ambivert. Sportsman. Chill. Deep-Thinker. Introspective.,3,0,0,8,0,5,2,5
21BBA0217,Ambivert.,5,0,4,9,4,7,2,7
20BCE0420,Procrastinator. Hardworking. Introvert.,6,6,0,7,2,1,9,5
19BCE2098,student. Bangalore. music. theatre. traveling. visiting. places. singing. cooking. TV.,7,2,0,3,1,1,2,5
19BCE0061,fun. happy-go-lucky. Eager.,9,9,0,9,1,9,9,5
21BAM0003,Passionate. Ambitious. Lively.,6,0,3,4,0,8,7,5
21BBA0088,Extrovert. Traveler. Funny guy.,6,8,2,4,9,7,8,7
19bce0908,Nothing.,4,2,1,6,2,0,8,5
20BCE0500,fun. introvert. Empathetic.,7,9,0,5,1,2,8,5
21BCE10988,Spiritual. Fun loving. Imaginative. Curious.,8,0,0,6,9,5,2,5
19BCE2202,Nothing.,0,0,3,0,0,0,0,5
20BCE2663,helpful. reading. concentrate. empathetic.,0,9,7,3,1,5,7,5
21bam0039,Confident. jolly. talented.,4,0,0,5,1,8,6,5
19BCE0350,Lark. Sports enthusiast. Artist.,8,2,6,8,0,0,6,5
19BCE2419,Extrovert. Positive. Hardworking.,7,2,5,7,0,6,8,5
21BAM0007,Chilled out. enthusiatic. joking. friendly.,9,9,0,3,1,7,6,5
19BCB0049,Nice. Kind. Smart. Confident.,5,2,0,7,9,7,8,5
21BAM0024,Nothing.,6,9,9,4,8,9,9,5
20BCE2310,Introvert. Artistic. Understanding.,1,0,2,3,0,3,7,5
19BCE0643,Fun. introvert.,5,5,0,8,9,1,8,5
20BCB0132,Smart. clever.,9,8,0,9,0,1,5,5
19BEI0081,Outspoken. Fun. Extrovert.,9,4,1,9,9,7,6,6
20BIT0332,Awesome.,9,0,6,7,2,3,2,5
19BCE0444,Nothing.,5,0,0,5,0,5,6,5
19BCE2132,Funny. Clever.,9,0,4,5,4,6,2,5
19BCE2332,Outgoing. Adaptable. Adventurous. Fun. Sensitive.,7,2,0,6,7,1,2,5
19BCT0215,Nothing.,1,0,0,0,4,9,6,5
19BCE2141,Sarcastic. Empathetic.,8,0,2,8,4,3,2,5
20BCE0505,Ambivert. Empathetic. Beautiful.,7,2,0,3,0,9,6,5
19BCB0119,Nothing.,5,9,0,9,0,3,8,5
20BCE2301,Ambivert. explorer. social. optimistic. lively.,8,2,6,3,6,1,2,5
20BCB0144,Extrovert. Clever. Motivated. Loyal. Honest.,3,5,4,1,4,7,2,5
21bam0059,Curious. Creative. Learner.,8,5,7,9,4,9,8,5
19BCE2262,Quiet. Brave. Neat.,9,9,1,8,1,1,9,5
21BAM0013,Marvel. romantic. lifestyle. EDM. good. helpful.,5,5,6,8,4,7,5,5
20BCI0233,Class. culture. retro.,2,2,5,6,6,9,2,5
20BCE2701,Honest. sincere. dedicated. procrastinator.,9,9,0,9,4,5,8,5
19MIS0405,Nothing.,9,9,0,9,0,9,6,5
19BCE2273,Nothing.,5,2,0,9,1,8,8,5
19BCE2128,Careful. Extrovert. Chatty.,8,2,0,6,0,5,2,5
19BCE0461,Ambivert.,8,5,4,8,2,7,8,5
21BAM0021,Kind. Chill. Learner.,6,6,0,4,1,1,2,6
20BCE0155,Nothing.,5,2,0,0,2,3,6,5
20MIS0131,Self-obsessed. Happy-go-lucky. Fun-loving.,1,0,9,6,9,7,2,5
20BCT0067,minimalist. introvert.,8,0,0,7,8,7,6,5
20BCI0185,Friendly neighborhood boy.,8,9,8,1,1,9,0,5
20BEE0127,Fun loving. Music lover.,1,9,2,6,2,5,7,6
20BCI0243,Adventurous. Day dreamer. Ambitious. Lazy.,9,5,0,9,2,3,6,5
20BCE2198,Empathetic. Happy-go-lucky. Foodie. Foul-tempered. Gamer. Developer.,5,2,2,3,3,7,8,5
20BCE0747,Nothing.,9,2,0,6,2,9,2,5
20BCE0930,honest. truthful. hardworking.,7,8,8,2,4,7,8,5
20BCE2832,Introvert. Adventures. Perfectionist.,6,4,1,6,2,9,6,5
21BKT0093,Easy-going. Creative. Street Smart. Lazy.,5,8,2,8,4,6,9,5
20BCE2172,Honest. Funloving.,8,0,4,1,0,1,2,5
21BAM0005,Nothing.,8,0,0,5,1,1,2,5
19BCE0935,Nothing.,8,8,0,0,2,5,6,5
20MID0080,Nothing.,7,4,6,0,0,1,1,5
19BBT0091,cheerful. positive. humorous. creative.,7,2,0,9,0,1,8,2
20MIS0119,Determined. Consistent. Sweet. Humble.,5,0,0,6,0,9,2,5
19BCE2193,Nothing.,3,9,0,3,9,5,9,5
20BCE0499,Nothing.,9,9,2,6,0,1,2,5
20BCE0504,Fun loving. Friendly.,0,9,0,1,4,9,4,5
20BCE0495,Friendly. Outgoing. Extrovert.,4,7,4,9,0,9,0,5
20BEC0688,Boring. Bland. Uninteresting.,0,0,9,5,9,3,1,6
19BCE2140,Boring. Moody. Creative.,7,9,5,9,1,1,0,0
